DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
11/15/19,188,219,,85.8447488584475,,
11/15/19,85,115,,73.9130434782609,,
11/15/19,223,240,,92.9166666666667,,
11/15/19,152,171,,88.8888888888889,,
12/01/19,227,252,,90.0793650793651,,
12/01/19,148,173,,85.5491329479769,,
12/01/19,316,272,,116.176470588235,,
12/01/19,144,206,,69.9029126213592,,
12/01/19,166,139,,119.424460431655,,
12/01/19,149,164,,90.8536585365854,,
12/01/19,199,178,,111.797752808989,,
12/01/19,140,216,,64.8148148148148,,
12/01/19,229,203,,112.807881773399,,
12/01/19,230,233,,98.7124463519313,,
12/01/19,161,136,,118.382352941176,,
12/01/19,241,236,,102.118644067797,,
12/01/19,240,231,,103.896103896104,,
12/01/19,201,219,,91.7808219178082,,
12/01/19,139,146,,95.2054794520548,,
12/01/19,91,109,,83.4862385321101,,
12/04/19,196,232,,84.4827586206896,,
12/04/19,192,170,,112.941176470588,,
12/04/19,133,131,,101.526717557252,,
12/04/19,131,113,,115.929203539823,,
12/04/19,178,213,,83.5680751173709,,
12/07/19,203,176,,115.340909090909,,
12/07/19,169,208,,81.25,,
12/07/19,226,235,,96.1702127659575,,
12/07/19,197,205,,96.0975609756098,,
12/07/19,184,202,,91.0891089108911,,
12/08/19,201,250,,80.4,,
12/08/19,86,87,,98.8505747126437,,
12/08/19,228,222,,102.702702702703,,
12/08/19,221,199,,111.05527638191,,
12/08/19,153,167,,91.6167664670659,,
12/08/19,161,159,,101.25786163522,,
12/08/19,262,253,,103.557312252964,,
12/15/19,274,249,,110.04016064257,,
12/15/19,210,260,,80.7692307692308,,
12/15/19,206,170,,121.176470588235,,
12/15/19,181,163,,111.042944785276,,
12/15/19,307,272,,112.867647058824,,
01/15/20,244,218,,111.926605504587,,
01/15/20,233,243,,95.8847736625514,,
01/15/20,130,102,,127.450980392157,,
01/15/20,155,181,,85.6353591160221,,
01/15/20,238,253,,94.0711462450593,,
01/19/20,284,319,,89.0282131661442,,
01/19/20,124,129,,96.1240310077519,,
01/19/20,278,233,,119.31330472103,,
01/19/20,171,170,,100.588235294118,,
01/19/20,180,202,,89.1089108910891,,
01/19/20,198,184,,107.608695652174,,
01/19/20,253,262,,96.5648854961832,,
02/02/20,157,153,,102.614379084967,,
02/02/20,197,164,,120.121951219512,,
02/02/20,251,262,,95.8015267175573,,
02/08/20,167,223,,74.8878923766816,,
02/08/20,135,166,,81.3253012048193,,
02/08/20,177,181,,97.7900552486188,,
02/14/20,258,304,,84.8684210526316,,
02/14/20,214,311,,68.8102893890675,,
